Application,Policy,Hostname,UserEmail,Result,ExitCode,LastResult,Version,LastSeen,UUID
Google Chrome,Chrome Patching,Muhammads-Mac.local,Muhammad@example.com,Success,0,Success,111.0.5563,04/05/2023,343D5E99
Google Chrome,Chrome Patching,Kobes-Mac.local,Kobe@example.com,Success,0,Success,112.0.5615,04/05/2023,6C0F0B06
Google Chrome,Chrome Patching,Madeleines-Mac.local,Madeleine@example.com,Success,0,Success,104.0.5112,04/05/2023,2638A8AA
Google Chrome,Chrome Patching,Abigails-Mac.local,Abigail@example.com,Success,0,Success,106.0.5249,04/05/2023,AFEFF6A0
Google Chrome,Chrome Patching,Remys-Mac.local,Remy@example.com,Success,0,Success,105.0.5195,04/05/2023,E345CEA3
Google Chrome,Chrome Patching,Norahs-Mac.local,Norah@example.com,Success,0,Success,112.0.5615,04/05/2023,D14F5239
Google Chrome,Chrome Patching,Logans-Mac.local,Logan@example.com,Success,0,Success,112.0.5615,04/05/2023,582686D3
Google Chrome,Chrome Patching,Josephines-Mac.local,Josephine@example.com,Success,0,Success,113.0.5672,04/05/2023,558D4D16
Google Chrome,Chrome Patching,Marcuss-Mac.local,Marcus@example.com,Success,0,Success,112.0.5615,04/05/2023,91EB8A8B
Google Chrome,Chrome Patching,Sebastians-Mac.local,Sebastian@example.com,Success,0,Success,107.0.5304,04/05/2023,F3329AAD
Google Chrome,Chrome Patching,Jensens-Mac.local,Jensen@example.com,Waiting,1,Waiting,113.0.5672,04/05/2023,3499071E
Google Chrome,Chrome Patching,Joels-Mac.local,Joel@example.com,Success,0,Success,107.0.5304,04/05/2023,C6D37F1C
Google Chrome,Chrome Patching,Mckennas-Mac.local,Mckenna@example.com,Waiting,1,Waiting,103.0.5060,04/05/2023,AC71BA21
Google Chrome,Chrome Patching,Garretts-Mac.local,Garrett@example.com,Waiting,1,Waiting,106.0.5249,04/05/2023,8A0AF82C
Google Chrome,Chrome Patching,Elises-Mac.local,Elise@example.com,Success,0,Success,112.0.5615,04/05/2023,66B7D4E4
Google Chrome,Chrome Patching,Mariahs-Mac.local,Mariah@example.com,Success,0,Success,113.0.5672,04/05/2023,B8F4A9C7
Google Chrome,Chrome Patching,Sawyers-Mac.local,Sawyer@example.com,Success,0,Success,105.0.5195,04/05/2023,63FE6A13
Google Chrome,Chrome Patching,Maeves-Mac.local,Maeve@example.com,Success,0,Success,112.0.5615,04/05/2023,A9EDAFCE
Google Chrome,Chrome Patching,Kyles-Mac.local,Kyle@example.com,Success,0,Success,112.0.5615,04/05/2023,EDF116FC
Google Chrome,Chrome Patching,Nikos-Mac.local,Niko@example.com,Success,0,Success,104.0.5112,04/05/2023,F48759C2
Google Chrome,Chrome Patching,Bowens-Mac.local,Bowen@example.com,Success,0,Success,106.0.5249,04/05/2023,DB9563B1
Google Chrome,Chrome Patching,Aaliyahs-Mac.local,Aaliyah@example.com,Success,0,Success,113.0.5672,04/05/2023,5B7C9CEC
Google Chrome,Chrome Patching,Madelines-Mac.local,Madeline@example.com,Success,0,Success,113.0.5672,04/05/2023,FCA77F06
Google Chrome,Chrome Patching,Zaynes-Mac.local,Zayne@example.com,Success,0,Success,112.0.5615,04/05/2023,F6AABBAB
Google Chrome,Chrome Patching,Junes-Mac.local,June@example.com,Success,0,Success,111.0.5563,04/05/2023,2E9CB82B
Google Chrome,Chrome Patching,Embers-Mac.local,Ember@example.com,Success,0,Success,107.0.5304,04/05/2023,F41436D2
Google Chrome,Chrome Patching,Judahs-Mac.local,Judah@example.com,Success,0,Success,113.0.5672,04/05/2023,921E06EE
Google Chrome,Chrome Patching,Kingstons-Mac.local,Kingston@example.com,Success,0,Success,106.0.5249,04/05/2023,8C2812DD
Google Chrome,Chrome Patching,Carloss-Mac.local,Carlos@example.com,Success,0,Success,112.0.5615,04/05/2023,B1C1F6FA
Google Chrome,Chrome Patching,Juliuss-Mac.local,Julius@example.com,Success,0,Success,113.0.5672,04/05/2023,8AE459A8
Google Chrome,Chrome Patching,Aspens-Mac.local,Aspen@example.com,Success,0,Success,111.0.5563,04/05/2023,FE5A243A
Google Chrome,Chrome Patching,Adelyns-Mac.local,Adelyn@example.com,Success,0,Success,113.0.5672,04/05/2023,27B1A0A0
Google Chrome,Chrome Patching,Lucys-Mac.local,Lucy@example.com,Success,0,Success,106.0.5249,04/05/2023,989F1FF2
Google Chrome,Chrome Patching,Brians-Mac.local,Brian@example.com,Success,0,Success,109.0.5414,04/05/2023,83A7DAEC
Google Chrome,Chrome Patching,Kevins-Mac.local,Kevin@example.com,Waiting,1,Waiting,109.0.5414,04/05/2023,EDA0FF00
Google Chrome,Chrome Patching,Lylas-Mac.local,Lyla@example.com,Waiting,1,Waiting,106.0.5249,04/05/2023,0A36B45C
Google Chrome,Chrome Patching,Arabellas-Mac.local,Arabella@example.com,Success,0,Success,113.0.5672,04/05/2023,B5C7FD34
Google Chrome,Chrome Patching,Skylars-Mac.local,Skylar@example.com,Success,0,Success,112.0.5615,04/05/2023,0EA2990F
Google Chrome,Chrome Patching,Dahlias-Mac.local,Dahlia@example.com,Success,0,Success,113.0.5672,04/05/2023,31915E5C
Google Chrome,Chrome Patching,Mckenzies-Mac.local,Mckenzie@example.com,Success,0,Success,113.0.5672,04/05/2023,DB7CBCB2
Google Chrome,Chrome Patching,Evangelines-Mac.local,Evangeline@example.com,Success,0,Success,112.0.5615,04/05/2023,8EBD1E71
Google Chrome,Chrome Patching,Olivers-Mac.local,Oliver@example.com,Success,0,Success,113.0.5672,04/05/2023,DD4CF0AE
Google Chrome,Chrome Patching,Peytons-Mac.local,Peyton@example.com,Waiting,1,Waiting,113.0.5672,04/05/2023,ED55527F
Google Chrome,Chrome Patching,Lucias-Mac.local,Lucia@example.com,Success,0,Success,112.0.5615,04/05/2023,69E34CB8
Google Chrome,Chrome Patching,Alijahs-Mac.local,Alijah@example.com,Success,0,Success,111.0.5563,04/05/2023,FC5352CF
Google Chrome,Chrome Patching,Winstons-Mac.local,Winston@example.com,Success,0,Success,109.0.5414,04/05/2023,CF2A9C8E
Google Chrome,Chrome Patching,Christians-Mac.local,Christian@example.com,Waiting,1,Waiting,113.0.5672,04/05/2023,3EB8EDFE
Google Chrome,Chrome Patching,Georges-Mac.local,George@example.com,Success,0,Success,111.0.5563,04/05/2023,B14D1D5F
